epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692,0,104.382,0,0,0,0,0,0,156.1,0,0.000331224,0.000331224,0.000331224
2,1365.76,0,71.855,0,0,0,0,0,0,94.3503,0,0.000651399,0.000651399,0.000651399
3,2031.43,0,41.4731,0,0,0,0,0,0,893.722,0,0.000958374,0.000958374,0.000958374
4,2694.04,0,17.3266,0,0,0,0,0,0,14.4971,0,0.0009406,0.0009406,0.0009406
5,3361.68,0,5.26064,0,0,0,0,0,0,4.02836,0,0.0009208,0.0009208,0.0009208
6,4029.6,0,1.38038,0,0,0,0,0,0,1.0704,0,0.000901,0.000901,0.000901
