epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.288,0,19.4255,0,0,0,0,0,0,0,0,0.0703846,0.0032906,0.0032906
2,1116,0,0,0,0,0,0,0,0,0,0,0.040319,0.00655835,0.00655835
